,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
927,2023-09-08,229.17181860383917,206.89097710511766,278.02527660606523,229.17181860383917,229.17181860383917,12.86753119984088,12.86753119984088,12.86753119984088,-4.309793508076389,-4.309793508076389,-4.309793508076389,17.17732470791727,17.17732470791727,17.17732470791727,0.0,0.0,0.0,242.03934980368004
928,2023-09-11,228.71031231756083,210.16283414317542,283.55845982360034,228.71031231756083,228.71031231756083,17.17942441435344,17.17942441435344,17.17942441435344,-2.381416927985504,-2.381416927985504,-2.381416927985504,19.560841342338946,19.560841342338946,19.560841342338946,0.0,0.0,0.0,245.88973673191427
929,2023-09-12,228.5564768888014,209.32867988693286,282.064473928084,228.5564768888014,228.5564768888014,17.047749710950672,17.047749710950672,17.047749710950672,-3.1518684671655772,-3.1518684671655772,-3.1518684671655772,20.19961817811625,20.19961817811625,20.19961817811625,0.0,0.0,0.0,245.60422659975208
930,2023-09-13,228.40264146004193,209.30314494481763,286.7769677972499,228.40264146004193,228.40264146004193,17.838501860739946,17.838501860739946,17.838501860739946,-2.895975835305466,-2.895975835305466,-2.895975835305466,20.734477696045413,20.734477696045413,20.734477696045413,0.0,0.0,0.0,246.24114332078187
931,2023-09-14,228.2488060312825,211.17652276779592,286.7432200814954,228.2488060312825,228.2488060312825,17.33177942894936,17.33177942894936,17.33177942894936,-3.819842178896199,-3.819842178896199,-3.819842178896199,21.15162160784556,21.15162160784556,21.15162160784556,0.0,0.0,0.0,245.58058546023187
932,2023-09-15,228.0949706025231,206.6370893859241,282.79953938212583,228.0949706025231,228.0949706025231,17.12925605572578,17.12925605572578,17.12925605572578,-4.309793508068795,-4.309793508068795,-4.309793508068795,21.439049563794576,21.439049563794576,21.439049563794576,0.0,0.0,0.0,245.22422665824888
933,2023-09-18,227.63346431624475,208.80273911799833,282.6818239531002,227.63346431624475,227.63346431624475,19.056035314618608,19.056035314618608,19.056035314618608,-2.3814169280025865,-2.3814169280025865,-2.3814169280025865,21.437452242621195,21.437452242621195,21.437452242621195,0.0,0.0,0.0,246.68949963086337
934,2023-09-19,227.47962888748532,207.68669440649313,280.625117148154,227.47962888748532,227.47962888748532,17.982041927173327,17.982041927173327,17.982041927173327,-3.1518684671556514,-3.1518684671556514,-3.1518684671556514,21.133910394328975,21.133910394328975,21.133910394328975,0.0,0.0,0.0,245.46167081465865
935,2023-09-20,227.32579345872585,206.3677705375946,279.4186432593901,227.32579345872585,227.32579345872585,17.782813739219744,17.782813739219744,17.782813739219744,-2.8959758353038936,-2.8959758353038936,-2.8959758353038936,20.67878957452364,20.67878957452364,20.67878957452364,0.0,0.0,0.0,245.1086071979456
936,2023-09-21,227.17195802996645,209.45775155559542,282.4922633710654,227.17195802996645,227.17195802996645,16.25689814078446,16.25689814078446,16.25689814078446,-3.8198421788993686,-3.8198421788993686,-3.8198421788993686,20.07674031968383,20.07674031968383,20.07674031968383,0.0,0.0,0.0,243.42885617075092
937,2023-09-22,227.018122601207,204.51938188957143,279.13693962533875,227.018122601207,227.018122601207,15.025754093570677,15.025754093570677,15.025754093570677,-4.309793508095895,-4.309793508095895,-4.309793508095895,19.335547601666573,19.335547601666573,19.335547601666573,0.0,0.0,0.0,242.04387669477768
938,2023-09-25,226.55661631492868,199.2130364433063,280.0971706734476,226.55661631492868,226.55661631492868,14.017809035032885,14.017809035032885,14.017809035032885,-2.3814169280019795,-2.3814169280019795,-2.3814169280019795,16.399225963034862,16.399225963034862,16.399225963034862,0.0,0.0,0.0,240.57442534996156
939,2023-09-26,226.4027808861692,201.19147346377008,274.3502389757748,226.4027808861692,226.4027808861692,12.084823977948137,12.084823977948137,12.084823977948137,-3.1518684671583537,-3.1518684671583537,-3.1518684671583537,15.23669244510649,15.23669244510649,15.23669244510649,0.0,0.0,0.0,238.48760486411734
940,2023-09-27,226.24894545740983,200.25658821395854,273.6650433774886,226.24894545740983,226.24894545740983,11.118620880774088,11.118620880774088,11.118620880774088,-2.8959758353027416,-2.8959758353027416,-2.8959758353027416,14.014596716076829,14.014596716076829,14.014596716076829,0.0,0.0,0.0,237.3675663381839
941,2023-09-28,226.09511002865037,197.66499758298383,272.3969768738161,226.09511002865037,226.09511002865037,8.934869892675984,8.934869892675984,8.934869892675984,-3.8198421789025385,-3.8198421789025385,-3.8198421789025385,12.754712071578522,12.754712071578522,12.754712071578522,0.0,0.0,0.0,235.02997992132634
942,2023-09-29,225.94127459989093,194.74576072191954,269.4780421785138,225.94127459989093,225.94127459989093,7.1699427317268745,7.1699427317268745,7.1699427317268745,-4.3097935080826115,-4.3097935080826115,-4.3097935080826115,11.479736239809485,11.479736239809485,11.479736239809485,0.0,0.0,0.0,233.1112173316178
943,2023-10-02,225.4797683136126,191.269323509094,268.13397693043737,225.4797683136126,225.4797683136126,5.412713197164211,5.412713197164211,5.412713197164211,-2.3814169280102164,-2.3814169280102164,-2.3814169280102164,7.794130125174427,7.794130125174427,7.794130125174427,0.0,0.0,0.0,230.8924815107768
944,2023-10-03,225.32593288485313,190.76614343712134,264.9620155956714,225.32593288485313,225.32593288485313,3.534023954505862,3.534023954505862,3.534023954505862,-3.1518684671610555,-3.1518684671610555,-3.1518684671610555,6.685892421666917,6.685892421666917,6.685892421666917,0.0,0.0,0.0,228.859956839359
945,2023-10-04,225.17209745609372,189.76006694957627,262.19129212151324,225.17209745609372,225.17209745609372,2.7755587332793246,2.7755587332793246,2.7755587332793246,-2.895975835301169,-2.895975835301169,-2.895975835301169,5.671534568580494,5.671534568580494,5.671534568580494,0.0,0.0,0.0,227.94765618937305
946,2023-10-05,225.0182620273343,186.67628487695097,263.52314178713124,225.0182620273343,225.0182620273343,0.9485260295348087,0.9485260295348087,0.9485260295348087,-3.8198421789057075,-3.8198421789057075,-3.8198421789057075,4.768368208440516,4.768368208440516,4.768368208440516,0.0,0.0,0.0,225.9667880568691
947,2023-10-06,224.86442659857485,189.11287515377745,260.8813290875369,224.86442659857485,224.86442659857485,-0.3186267648368807,-0.3186267648368807,-0.3186267648368807,-4.309793508080705,-4.309793508080705,-4.309793508080705,3.9911667432438236,3.9911667432438236,3.9911667432438236,0.0,0.0,0.0,224.54579983373796
948,2023-10-09,224.4029203122965,186.86892505444476,261.915694349655,224.4029203122965,224.4029203122965,0.13701956698703796,0.13701956698703796,0.13701956698703796,-2.3814169279841764,-2.3814169279841764,-2.3814169279841764,2.518436494971214,2.518436494971214,2.518436494971214,0.0,0.0,0.0,224.53993987928354
949,2023-10-10,224.2490848835371,185.39715062461198,259.38658031810934,224.2490848835371,224.2490848835371,-0.8200392689139098,-0.8200392689139098,-0.8200392689139098,-3.151868467151131,-3.151868467151131,-3.151868467151131,2.3318291982372212,2.3318291982372212,2.3318291982372212,0.0,0.0,0.0,223.4290456146232
950,2023-10-11,224.09524945477764,185.42672485084827,258.8388559519095,224.09524945477764,224.09524945477764,-0.5981083002884687,-0.5981083002884687,-0.5981083002884687,-2.895975835304662,-2.895975835304662,-2.895975835304662,2.297867535016193,2.297867535016193,2.297867535016193,0.0,0.0,0.0,223.49714115448919
951,2023-10-12,223.9414140260182,186.69418617631476,258.5235925478279,223.9414140260182,223.9414140260182,-1.4080541718547657,-1.4080541718547657,-1.4080541718547657,-3.8198421789071255,-3.8198421789071255,-3.8198421789071255,2.4117880070523596,2.4117880070523596,2.4117880070523596,0.0,0.0,0.0,222.53335985416345
952,2023-10-13,223.78757859725874,184.67132981054112,259.9385175842184,223.78757859725874,223.78757859725874,-1.64414325622264,-1.64414325622264,-1.64414325622264,-4.309793508107805,-4.309793508107805,-4.309793508107805,2.665650251885165,2.665650251885165,2.665650251885165,0.0,0.0,0.0,222.1434353410361
953,2023-10-16,223.32607231098046,185.95943923029657,261.85758652777906,223.32607231098046,223.32607231098046,1.7642458510625714,1.7642458510625714,1.7642458510625714,-2.381416927992414,-2.381416927992414,-2.381416927992414,4.145662779054985,4.145662779054985,4.145662779054985,0.0,0.0,0.0,225.09031816204305
954,2023-10-17,223.172236882221,187.1444823159919,262.9312736646865,223.172236882221,223.172236882221,1.6748631440596766,1.6748631440596766,1.6748631440596766,-3.1518684671538337,-3.1518684671538337,-3.1518684671538337,4.82673161121351,4.82673161121351,4.82673161121351,0.0,0.0,0.0,224.84710002628069
955,2023-10-18,223.01840145346156,190.11217692342478,265.8794873148899,223.01840145346156,223.01840145346156,2.675720564556014,2.675720564556014,2.675720564556014,-2.8959758353030893,-2.8959758353030893,-2.8959758353030893,5.571696399859103,5.571696399859103,5.571696399859103,0.0,0.0,0.0,225.69412201801757
956,2023-10-19,222.86456602470213,186.95304837260423,263.2084853479588,222.86456602470213,222.86456602470213,2.5413321898116954,2.5413321898116954,2.5413321898116954,-3.8198421788967867,-3.8198421788967867,-3.8198421788967867,6.361174368708482,6.361174368708482,6.361174368708482,0.0,0.0,0.0,225.40589821451383
957,2023-10-20,222.71073059594266,187.39173007942915,264.0340216356902,222.71073059594266,222.71073059594266,2.865803827874988,2.865803827874988,2.865803827874988,-4.309793508105899,-4.309793508105899,-4.309793508105899,7.1755973359808864,7.1755973359808864,7.1755973359808864,0.0,0.0,0.0,225.57653442381766
958,2023-10-23,222.24922430966438,189.95544407402048,268.9734426318303,222.24922430966438,222.24922430966438,7.199875371727369,7.199875371727369,7.199875371727369,-2.381416928000651,-2.381416928000651,-2.381416928000651,9.581292299728021,9.581292299728021,9.581292299728021,0.0,0.0,0.0,229.44909968139174
959,2023-10-24,222.09538888090492,191.2514552497954,268.3320189222788,222.09538888090492,222.09538888090492,7.162712348331561,7.162712348331561,7.162712348331561,-3.1518684671621964,-3.1518684671621964,-3.1518684671621964,10.314580815493757,10.314580815493757,10.314580815493757,0.0,0.0,0.0,229.25810122923647
960,2023-10-25,221.94155345214548,191.42834254008298,270.20863181742413,221.94155345214548,221.94155345214548,8.094273034509024,8.094273034509024,8.094273034509024,-2.895975835301517,-2.895975835301517,-2.895975835301517,10.990248869810541,10.990248869810541,10.990248869810541,0.0,0.0,0.0,230.0358264866545
961,2023-10-26,221.78771802338602,191.30963296253097,269.9277580483509,221.78771802338602,221.78771802338602,7.778075348012732,7.778075348012732,7.778075348012732,-3.8198421788982038,-3.8198421788982038,-3.8198421788982038,11.597917526910937,11.597917526910937,11.597917526910937,0.0,0.0,0.0,229.56579337139874
962,2023-10-27,221.63388259462664,193.6285582047309,270.2844699024955,221.63388259462664,221.63388259462664,7.820203207190199,7.820203207190199,7.820203207190199,-4.309793508098305,-4.309793508098305,-4.309793508098305,12.129996715288504,12.129996715288504,12.129996715288504,0.0,0.0,0.0,229.45408580181683
963,2023-10-30,221.17237630834828,195.93080416052868,269.7867750563535,221.17237630834828,221.17237630834828,10.860014860829732,10.860014860829732,10.860014860829732,-2.381416928008889,-2.381416928008889,-2.381416928008889,13.241431788838621,13.241431788838621,13.241431788838621,0.0,0.0,0.0,232.032391169178
964,2023-10-31,221.01854087958884,192.39504643993683,266.37723715338507,221.01854087958884,221.01854087958884,10.302993996608466,10.302993996608466,10.302993996608466,-3.1518684671648987,-3.1518684671648987,-3.1518684671648987,13.454862463773365,13.454862463773365,13.454862463773365,0.0,0.0,0.0,231.32153487619732
965,2023-11-01,220.8647054508294,192.37948820839833,269.6602083384909,220.8647054508294,220.8647054508294,10.70318718017804,10.70318718017804,10.70318718017804,-2.8959758353050082,-2.8959758353050082,-2.8959758353050082,13.599163015483049,13.599163015483049,13.599163015483049,0.0,0.0,0.0,231.56789263100745
966,2023-11-02,220.71087002207,193.79384438904057,266.1873781952826,220.71087002207,220.71087002207,9.863936020001367,9.863936020001367,9.863936020001367,-3.8198421789031274,-3.8198421789031274,-3.8198421789031274,13.683778198904493,13.683778198904493,13.683778198904493,0.0,0.0,0.0,230.57480604207137
967,2023-11-03,220.55703459331053,192.2792078869454,267.98365107241835,220.55703459331053,220.55703459331053,9.410446054786977,9.410446054786977,9.410446054786977,-4.309793508090709,-4.309793508090709,-4.309793508090709,13.720239562877687,13.720239562877687,13.720239562877687,0.0,0.0,0.0,229.9674806480975
968,2023-11-06,220.09552830703225,194.69291586747158,270.7158843639348,220.09552830703225,220.09552830703225,11.296946140752203,11.296946140752203,11.296946140752203,-2.3814169280082806,-2.3814169280082806,-2.3814169280082806,13.678363068760483,13.678363068760483,13.678363068760483,0.0,0.0,0.0,231.39247444778445
969,2023-11-07,219.94169287827276,193.4225808215045,266.719022625482,219.94169287827276,219.94169287827276,10.512070997476945,10.512070997476945,10.512070997476945,-3.151868467161286,-3.151868467161286,-3.151868467161286,13.66393946463823,13.66393946463823,13.66393946463823,0.0,0.0,0.0,230.4537638757497
970,2023-11-08,219.78785744951335,192.4817786141113,270.09411525001076,219.78785744951335,219.78785744951335,10.778517760559339,10.778517760559339,10.778517760559339,-2.895975835303436,-2.895975835303436,-2.895975835303436,13.674493595862774,13.674493595862774,13.674493595862774,0.0,0.0,0.0,230.5663752100727
971,2023-11-09,219.63402202075392,190.18089818244223,268.12264291563696,219.63402202075392,219.63402202075392,9.90435662479346,9.90435662479346,9.90435662479346,-3.8198421788892842,-3.8198421788892842,-3.8198421788892842,13.724198803682743,13.724198803682743,13.724198803682743,0.0,0.0,0.0,229.53837864554737
972,2023-11-10,219.48018659199445,189.15090019585742,265.7583713967572,219.48018659199445,219.48018659199445,9.516101675235198,9.516101675235198,9.516101675235198,-4.309793508083115,-4.309793508083115,-4.309793508083115,13.825895183318313,13.825895183318313,13.825895183318313,0.0,0.0,0.0,228.99628826722966
973,2023-11-13,219.01868030571612,189.9534314913703,266.4255509942162,219.01868030571612,219.01868030571612,12.160829409996108,12.160829409996108,12.160829409996108,-2.3814169280253643,-2.3814169280253643,-2.3814169280253643,14.542246338021474,14.542246338021474,14.542246338021474,0.0,0.0,0.0,231.17950971571221
974,2023-11-14,218.86484487695668,194.57665826034884,270.14459226781884,218.86484487695668,218.86484487695668,11.787193379909812,11.787193379909812,11.787193379909812,-3.1518684671576755,-3.1518684671576755,-3.1518684671576755,14.939061847067487,14.939061847067487,14.939061847067487,0.0,0.0,0.0,230.6520382568665
975,2023-11-15,218.71100944819727,193.47580564278596,267.4014700196413,218.71100944819727,218.71100944819727,12.522423352106776,12.522423352106776,12.522423352106776,-2.8959758353022846,-2.8959758353022846,-2.8959758353022846,15.418399187409058,15.418399187409058,15.418399187409058,0.0,0.0,0.0,231.23343280030406
976,2023-11-16,218.55717401943784,194.17693918190596,269.88456176953633,218.55717401943784,218.55717401943784,12.158045437220515,12.158045437220515,12.158045437220515,-3.819842178892454,-3.819842178892454,-3.819842178892454,15.97788761611297,15.97788761611297,15.97788761611297,0.0,0.0,0.0,230.71521945665836
977,2023-11-17,218.40333859067837,195.20580690622833,265.099108733873,218.40333859067837,218.40333859067837,12.302353775204379,12.302353775204379,12.302353775204379,-4.309793508081209,-4.309793508081209,-4.309793508081209,16.612147283285587,16.612147283285587,16.612147283285587,0.0,0.0,0.0,230.70569236588275
978,2023-11-20,217.94183230440004,194.4739986584739,271.88627455489035,217.94183230440004,217.94183230440004,16.486054188441212,16.486054188441212,16.486054188441212,-2.3814169279904784,-2.3814169279904784,-2.3814169279904784,18.86747111643169,18.86747111643169,18.86747111643169,0.0,0.0,0.0,234.42788649284125
979,2023-11-21,217.78799687564063,199.01132949002698,270.3595301487534,217.78799687564063,217.78799687564063,16.540541464612385,16.540541464612385,16.540541464612385,-3.1518684671540638,-3.1518684671540638,-3.1518684671540638,19.692409931766452,19.692409931766452,19.692409931766452,0.0,0.0,0.0,234.328538340253
980,2023-11-22,217.6341614468812,199.97886857715167,272.37040261451943,217.6341614468812,217.6341614468812,17.630872082149185,17.630872082149185,17.630872082149185,-2.8959758353032443,-2.8959758353032443,-2.8959758353032443,20.52684791745243,20.52684791745243,20.52684791745243,0.0,0.0,0.0,235.26503352903038
981,2023-11-24,217.3264905893623,200.41358481697694,272.9825582586456,217.3264905893623,217.3264905893623,17.840781094952728,17.840781094952728,17.840781094952728,-4.3097935080679255,-4.3097935080679255,-4.3097935080679255,22.15057460302065,22.15057460302065,22.15057460302065,0.0,0.0,0.0,235.167271684315
982,2023-11-27,216.864984303084,199.62141482200093,275.3252906755753,216.864984303084,216.864984303084,21.811146027913896,21.811146027913896,21.811146027913896,-2.381416927998716,-2.381416927998716,-2.381416927998716,24.192562955912614,24.192562955912614,24.192562955912614,0.0,0.0,0.0,238.6761303309979
983,2023-11-28,216.71114887432455,201.74383709177005,275.46045316872073,216.71114887432455,216.71114887432455,21.5465818309806,21.5465818309806,21.5465818309806,-3.151868467156765,-3.151868467156765,-3.151868467156765,24.698450298137367,24.698450298137367,24.698450298137367,0.0,0.0,0.0,238.25773070530516
984,2023-11-29,216.55731344556511,200.2451554755048,276.56684845511785,216.55731344556511,216.55731344556511,22.19650622849458,22.19650622849458,22.19650622849458,-2.8959758353042044,-2.8959758353042044,-2.8959758353042044,25.092482063798787,25.092482063798787,25.092482063798787,0.0,0.0,0.0,238.75381967405968
985,2023-11-30,216.40347801680565,198.3530921392772,276.4507842748329,216.40347801680565,216.40347801680565,21.543679224859112,21.543679224859112,21.543679224859112,-3.8198421788952888,-3.8198421788952888,-3.8198421788952888,25.3635214037544,25.3635214037544,25.3635214037544,0.0,0.0,0.0,237.94715724166477
986,2023-12-01,216.2496425880462,199.97235173114638,273.2244159871438,216.2496425880462,216.2496425880462,21.19356149790003,21.19356149790003,21.19356149790003,-4.309793508100714,-4.309793508100714,-4.309793508100714,25.503355006000746,25.503355006000746,25.503355006000746,0.0,0.0,0.0,237.44320408594623
987,2023-12-04,215.7881363017679,199.10943052221967,276.2708364443913,215.7881363017679,215.7881363017679,22.721598302663608,22.721598302663608,22.721598302663608,-2.3814169279981074,-2.3814169279981074,-2.3814169279981074,25.103015230661715,25.103015230661715,25.103015230661715,0.0,0.0,0.0,238.50973460443151
988,2023-12-05,215.63430087300847,202.37738123736654,274.7238118440499,215.63430087300847,215.63430087300847,21.551089360225653,21.551089360225653,21.551089360225653,-3.1518684671468407,-3.1518684671468407,-3.1518684671468407,24.702957827372494,24.702957827372494,24.702957827372494,0.0,0.0,0.0,237.18539023323413
989,2023-12-06,215.480465444249,197.65861946151438,272.59986780897634,215.480465444249,215.480465444249,21.28577569895362,21.28577569895362,21.28577569895362,-2.895975835303053,-2.895975835303053,-2.895975835303053,24.181751534256676,24.181751534256676,24.181751534256676,0.0,0.0,0.0,236.76624114320262
990,2023-12-07,215.32663001548957,194.39640542477218,272.0461491817783,215.32663001548957,215.32663001548957,19.73189004512684,19.73189004512684,19.73189004512684,-3.81984217890021,-3.81984217890021,-3.81984217890021,23.55173222402705,23.55173222402705,23.55173222402705,0.0,0.0,0.0,235.05852006061642
991,2023-12-08,215.17279458673016,193.53333150844077,270.62988256987865,215.17279458673016,215.17279458673016,18.51845250187829,18.51845250187829,18.51845250187829,-4.309793508093121,-4.309793508093121,-4.309793508093121,22.82824600997141,22.82824600997141,22.82824600997141,0.0,0.0,0.0,233.69124708860846
992,2023-12-11,214.71128830045183,194.03683155718124,269.7117143534628,214.71128830045183,214.71128830045183,17.905819637995112,17.905819637995112,17.905819637995112,-2.3814169279974995,-2.3814169279974995,-2.3814169279974995,20.28723656599261,20.28723656599261,20.28723656599261,0.0,0.0,0.0,232.61710793844694
993,2023-12-12,214.5574528716924,195.9843199198266,265.1169014403551,214.5574528716924,214.5574528716924,16.23706296468194,16.23706296468194,16.23706296468194,-3.151868467161518,-3.151868467161518,-3.151868467161518,19.38893143184346,19.38893143184346,19.38893143184346,0.0,0.0,0.0,230.79451583637433
994,2023-12-13,214.40361744293293,193.59191432320156,264.92357478607244,214.40361744293293,214.40361744293293,15.60751574457482,15.60751574457482,15.60751574457482,-2.8959758353040117,-2.8959758353040117,-2.8959758353040117,18.503491579878833,18.503491579878833,18.503491579878833,0.0,0.0,0.0,230.01113318750774
995,2023-12-14,214.24978201417352,191.8282637100005,265.0897750609449,214.24978201417352,214.24978201417352,13.834337191537664,13.834337191537664,13.834337191537664,-3.819842178901628,-3.819842178901628,-3.819842178901628,17.65417937043929,17.65417937043929,17.65417937043929,0.0,0.0,0.0,228.08411920571118
996,2023-12-15,214.09594658541408,188.29351054132877,265.77031462896775,214.09594658541408,214.09594658541408,12.553678736001155,12.553678736001155,12.553678736001155,-4.309793508091214,-4.309793508091214,-4.309793508091214,16.863472244092367,16.863472244092367,16.863472244092367,0.0,0.0,0.0,226.64962532141524
997,2023-12-18,213.63444029913578,190.71468661730992,266.0953566411628,213.63444029913578,213.63444029913578,12.661772796686467,12.661772796686467,12.661772796686467,-2.381416928014583,-2.381416928014583,-2.381416928014583,15.04318972470105,15.04318972470105,15.04318972470105,0.0,0.0,0.0,226.29621309582225
998,2023-12-19,213.48060487037628,188.72743171115727,262.41751628650155,213.48060487037628,213.48060487037628,11.523179168592952,11.523179168592952,11.523179168592952,-3.151868467151592,-3.151868467151592,-3.151868467151592,14.675047635744543,14.675047635744543,14.675047635744543,0.0,0.0,0.0,225.00378403896923
999,2023-12-20,213.32676944161685,189.1432182632535,264.3816708354004,213.32676944161685,213.32676944161685,11.549895546732632,11.549895546732632,11.549895546732632,-2.89597583530244,-2.89597583530244,-2.89597583530244,14.44587138203507,14.44587138203507,14.44587138203507,0.0,0.0,0.0,224.8766649883495
1000,2023-12-21,213.17293401285744,188.58080127623734,264.624096832776,213.17293401285744,213.17293401285744,10.542239338663876,10.542239338663876,10.542239338663876,-3.819842178904797,-3.819842178904797,-3.819842178904797,14.362081517568674,14.362081517568674,14.362081517568674,0.0,0.0,0.0,223.71517335152132
1001,2023-12-22,213.019098584098,185.92194054676128,259.7717283428633,213.019098584098,213.019098584098,10.116388079893607,10.116388079893607,10.116388079893607,-4.309793508089308,-4.309793508089308,-4.309793508089308,14.426181587982915,14.426181587982915,14.426181587982915,0.0,0.0,0.0,223.1354866639916
