date,open,high,low,close,volume,raw_close,change_percent,avg_vol_20d
08/02/2022,301.8433333,308.7633,298.2666667,307.3333333,50729009,922,1.62,88529093.75
09/02/2022,311.6667,315.4233,306.6667,310.6667,52259548,932.0001,1.08,87838910.75
10/02/2022,302.79,314.6033333,298.9000333,301.5166667,66126835,904.55,-2.95,86958301.4
11/02/2022,303.2100333,305.32,283.5666667,286.6667,79645855,860.0001,-4.93,86080105.3
14/02/2022,287.19,299.6266333,284.3833667,291.92,67756411,875.76,1.83,85821704.8
15/02/2022,300,307.6667,297.7924667,307.4767,57649528,922.4301,5.33,85354711.15
16/02/2022,304.6833333,308.8099667,300.4033333,307.7967,51294392,923.3901,0.1,84147305.85
17/02/2022,304.42,306.1666333,291.3666667,292.1166667,55178431,876.35,-5.09,83381790.3
18/02/2022,295.3333333,295.6233667,279.2033333,285.66,68501845,856.98,-2.21,81636081.5
22/02/2022,278.0433333,285.5779333,267.0334,273.8433333,83288185,821.53,-4.14,78181734.3
23/02/2022,276.81,278.4332333,253.52,254.68,95257017,764.04,-7,78614790.15
24/02/2022,233.4633333,267.4933333,233.3333333,266.9233333,135322298,800.77,4.81,80137540.9
25/02/2022,269.7433333,273.1667,260.8001667,269.9566667,76067758,809.87,1.14,76585451
28/02/2022,271.67,292.2866667,271.5691667,290.1433333,99006864,870.43,7.48,74796347.2
01/03/2022,289.8933333,296.6266667,284.5933333,288.1233667,74766859,864.3701,-0.7,73312885.65
02/03/2022,290.7100333,295.4933333,281.4240333,293.2967,74643448,879.8901,1.8,73388141.1
03/03/2022,292.9233333,295.4796667,277.5334,279.7633333,61623508,839.29,-4.61,73129664.1
04/03/2022,283.0333333,285.2166667,275.0536333,279.43,67179859,838.29,-0.12,72545878.8
07/03/2022,285.4333333,288.7133333,268.19,268.1933667,72494161,804.5801,-4.02,72489313.95
08/03/2022,265.1767,283.3300333,260.7233333,274.8,80399095,824.4,2.46,73459545.3
09/03/2022,279.8266667,286.8533333,277.3366667,286.3233333,59183968,858.97,4.19,73882293.25
10/03/2022,283.8166667,284.8166667,270.1200667,279.4333333,58648651,838.3,-2.41,74201748.4
11/03/2022,280.0656667,281.2673333,264.5900333,265.1166667,67037161,795.35,-5.12,74247264.7
14/03/2022,260.2033333,266.9000333,252.0133333,255.4566667,71152258,766.37,-3.64,73822584.85
15/03/2022,258.4233333,268.5233333,252.19,267.2967,66841141,801.8901,4.63,73776821.35
16/03/2022,269.6667,280.6667,267.4200333,280.0766667,84028819,840.23,4.78,75095785.9
17/03/2022,276.9966667,291.6667,275.2392667,290.5333333,66582958,871.6,3.73,75860214.2
18/03/2022,291.4966667,302.6166667,289.13,301.7967,100414191,905.3901,3.88,78122002.2
21/03/2022,304.9933333,314.2833333,302.3633333,307.0533333,81981661,921.16,1.74,78795993
22/03/2022,310,332.62,307.25,331.3266667,105868557,993.98,7.91,79925011.6
23/03/2022,326.6466667,346.9,325.4666667,333.0366667,120676134,999.11,0.52,81195967.45
24/03/2022,336.5766667,341.4966667,329.6,337.9733333,68920891,1013.92,1.48,77875897.1
25/03/2022,336,340.6,332.4400667,336.88,62031538,1010.64,-0.32,77174086.1
28/03/2022,355.0333333,365.96,351.2,363.9466667,102506061,1091.84,8.03,77349045.95
29/03/2022,369.33,371.59,357.7033333,366.5233333,73614808,1099.57,0.71,77291443.4
